,title,name,stars,text,label_sentimen,text_clean,text_casefoldingText,text_slangwords,text_stemming,text_tokenizingText,text_stopword,text_final
10,Terminal Bulupitu Purwokerto,Nursiti Saefuroh,5,"Bersih, rapih dan petugasnya helpfull",Positif,Bersih rapih dan petugasnya helpfull,bersih rapih dan petugasnya helpfull,bersih rapi dan petugasnya helpfull,bersih rapi dan tugas helpfull,"['bersih', 'rapi', 'dan', 'tugas', 'helpfull']","['bersih', 'rapi', 'tugas', 'helpfull']",bersih rapi tugas helpfull
11,Terminal Bulupitu Purwokerto,Aisyah QA,5,Sangat di sambut dengan baik,Positif,Sangat di sambut dengan baik,sangat di sambut dengan baik,sangat di sambut dengan baik,sangat di sambut dengan baik,"['sangat', 'di', 'sambut', 'dengan', 'baik']",['sambut'],sambut
12,Terminal Bulupitu Purwokerto,Anto Ardilla,1,Tolong untuknpengelola parkir dibenahi karna tidak ada plang tarif ketentuan nya jadi asal2 saja menentukan tarif nya,Negatif,Tolong untuknpengelola parkir dibenahi karna tidak ada plang tarif ketentuan nya jadi asal saja menentukan tarif nya,tolong untuknpengelola parkir dibenahi karna tidak ada plang tarif ketentuan nya jadi asal saja menentukan tarif nya,tolong untuknpengelola parkir dibenahi karena tidak ada plang tarif ketentuan nya jadi asal saja menentukan tarif nya,tolong untuknpengelola parkir benah karena tidak ada plang tarif tentu nya jadi asal saja tentu tarif nya,"['tolong', 'untuknpengelola', 'parkir', 'benah', 'karena', 'tidak', 'ada', 'plang', 'tarif', 'tentu', 'nya', 'jadi', 'asal', 'saja', 'tentu', 'tarif', 'nya']","['tolong', 'untuknpengelola', 'parkir', 'benah', 'tidak', 'plang', 'tarif', 'tarif']",tolong untuknpengelola parkir benah tidak plang tarif tarif
13,Terminal Bulupitu Purwokerto,resepan,1,"MAS MAS MUDA YG JAGAIN DI PINTU MASUK DAN KELUARR G PUNYA EMPATI DAN G RAMAH SEKALI, ORG KY GT KOK MESI DI PEKERJAKAN.",Negatif,MAS MAS MUDA YG JAGAIN DI PINTU MASUK DAN KELUARR G PUNYA EMPATI DAN G RAMAH SEKALI ORG KY GT KOK MESI DI PEKERJAKAN,mas mas muda yg jagain di pintu masuk dan keluarr g punya empati dan g ramah sekali org ky gt kok mesi di pekerjakan,mas mas muda yang menjaga di pintu masuk dan keluarr enggak punya empati dan enggak ramah sekali orang kaya begitu kok mesi di pekerjakan,mas mas muda yang jaga di pintu masuk dan keluarr enggak punya empati dan enggak ramah sekali orang kaya begitu kok mes di kerja,"['mas', 'mas', 'muda', 'yang', 'jaga', 'di', 'pintu', 'masuk', 'dan', 'keluarr', 'enggak', 'punya', 'empati', 'dan', 'enggak', 'ramah', 'sekali', 'orang', 'kaya', 'begitu', 'kok', 'mes', 'di', 'kerja']","['mas', 'mas', 'muda', 'jaga', 'pintu', 'masuk', 'keluarr', 'empati', 'ramah', 'orang', 'kaya', 'mes', 'kerja']",mas mas muda jaga pintu masuk keluarr empati ramah orang kaya mes kerja
14,Terminal Bulupitu Purwokerto,Abdul Akhir,1,Calo parah,Negatif,Calo parah,calo parah,calo parah,calo parah,"['calo', 'parah']","['calo', 'parah']",calo parah
15,Terminal Bulupitu Purwokerto,Ika moy,1,"Parkiran mobil banyak pohon setua dan segede itu
Ranting jatoh aja bisa bikin pecah kaca mobilku.
Ke petugas setempat pengelola parkir jawabannya enak banget padahal sudah merugikan. Minimal ranting ranting di pangkas di rawat lah itu pepohonan
Sudah banyak korban seharusnya gimana caranya biar ngga kejadian lagi.
Untung aja bukan batang pohonnya yg njatohin mobil parkir.
Warning untuk pengurus tempat parkir. Aku tandain 👀",Negatif,Parkiran mobil banyak pohon setua dan segede itu Ranting jatoh aja bisa bikin pecah kaca mobilku Ke petugas setempat pengelola parkir jawabannya enak banget padahal sudah merugikan Minimal ranting ranting di pangkas di rawat lah itu pepohonan Sudah banyak korban seharusnya gimana caranya biar ngga kejadian lagi Untung aja bukan batang pohonnya yg njatohin mobil parkir Warning untuk pengurus tempat parkir Aku tandain,parkiran mobil banyak pohon setua dan segede itu ranting jatoh aja bisa bikin pecah kaca mobilku ke petugas setempat pengelola parkir jawabannya enak banget padahal sudah merugikan minimal ranting ranting di pangkas di rawat lah itu pepohonan sudah banyak korban seharusnya gimana caranya biar ngga kejadian lagi untung aja bukan batang pohonnya yg njatohin mobil parkir warning untuk pengurus tempat parkir aku tandain,parkiran mobil banyak pohon setua dan segede itu ranting jatuh saja bisa bikin pecah kaca mobilku ke petugas setempat pengelola parkir jawabannya enak  sekali padahal sudah merugikan minimal ranting ranting di pangkas di rawat lah itu pepohonan sudah banyak korban seharusnya bagaimana caranya biar enggak kejadian lagi untung saja bukan batang pohonnya yang njatohin mobil parkir warning untuk pengurus tempat parkir aku tandain,parkir mobil banyak pohon tua dan gede itu ranting jatuh saja bisa bikin pecah kaca mobil ke tugas tempat kelola parkir jawab enak sekali padahal sudah rugi minimal ranting ranting di pangkas di rawat lah itu pohon sudah banyak korban harus bagaimana cara biar enggak jadi lagi untung saja bukan batang pohon yang njatohin mobil parkir warning untuk urus tempat parkir aku tandain,"['parkir', 'mobil', 'banyak', 'pohon', 'tua', 'dan', 'gede', 'itu', 'ranting', 'jatuh', 'saja', 'bisa', 'bikin', 'pecah', 'kaca', 'mobil', 'ke', 'tugas', 'tempat', 'kelola', 'parkir', 'jawab', 'enak', 'sekali', 'padahal', 'sudah', 'rugi', 'minimal', 'ranting', 'ranting', 'di', 'pangkas', 'di', 'rawat', 'lah', 'itu', 'pohon', 'sudah', 'banyak', 'korban', 'harus', 'bagaimana', 'cara', 'biar', 'enggak', 'jadi', 'lagi', 'untung', 'saja', 'bukan', 'batang', 'pohon', 'yang', 'njatohin', 'mobil', 'parkir', 'warning', 'untuk', 'urus', 'tempat', 'parkir', 'aku', 'tandain']","['parkir', 'mobil', 'pohon', 'tua', 'gede', 'ranting', 'jatuh', 'bikin', 'pecah', 'kaca', 'mobil', 'tugas', 'kelola', 'parkir', 'enak', 'rugi', 'minimal', 'ranting', 'ranting', 'pangkas', 'rawat', 'pohon', 'korban', 'biar', 'untung', 'batang', 'pohon', 'njatohin', 'mobil', 'parkir', 'warning', 'urus', 'parkir', 'tandain']",parkir mobil pohon tua gede ranting jatuh bikin pecah kaca mobil tugas kelola parkir enak rugi minimal ranting ranting pangkas rawat pohon korban biar untung batang pohon njatohin mobil parkir warning urus parkir tandain
16,Terminal Bulupitu Purwokerto,Ahmad Syaiful Ar-Rahman,1,"Calo nya bala bngt, ngambil untung nya kek mau pergi umroh
Tolong benahi dong instansi terkait
Bkin gk nyaman penumpang yg mau ke loket krna matok tarif gk wajar",Negatif,Calo nya bala bngt ngambil untung nya kek mau pergi umroh Tolong benahi dong instansi terkait Bkin gk nyaman penumpang yg mau ke loket krna matok tarif gk wajar,calo nya bala bngt ngambil untung nya kek mau pergi umroh tolong benahi dong instansi terkait bkin gk nyaman penumpang yg mau ke loket krna matok tarif gk wajar,calo nya bala banget ngambil untung nya kayak mau pergi umroh tolong benahi dong instansi terkait bikin enggak nyaman penumpang yang mau ke loket karena matok tarif enggak wajar,calo nya bala banget ngambil untung nya kayak mau pergi umroh tolong benah dong instansi kait bikin enggak nyaman tumpang yang mau ke loket karena matok tarif enggak wajar,"['calo', 'nya', 'bala', 'banget', 'ngambil', 'untung', 'nya', 'kayak', 'mau', 'pergi', 'umroh', 'tolong', 'benah', 'dong', 'instansi', 'kait', 'bikin', 'enggak', 'nyaman', 'tumpang', 'yang', 'mau', 'ke', 'loket', 'karena', 'matok', 'tarif', 'enggak', 'wajar']","['calo', 'bala', 'banget', 'ngambil', 'untung', 'kayak', 'pergi', 'umroh', 'tolong', 'benah', 'instansi', 'kait', 'bikin', 'nyaman', 'tumpang', 'loket', 'matok', 'tarif', 'wajar']",calo bala banget ngambil untung kayak pergi umroh tolong benah instansi kait bikin nyaman tumpang loket matok tarif wajar
17,Terminal Bulupitu Purwokerto,Ellyza Nurhayati,5,"Terminalnya lumayan, standar lah untuk terminal. Seperti biasa pasti banyak calo tapi surprisingly toiletnya lumayan bersih, ada mushola juga good👍. Ruang tunggunya ada di dalam tapi di depan ada taman juga buat nunggu, lumayan sejuk juga karna banyak pohon nya dan ada gazebo. Overall 👍👏✨",Positif,Terminalnya lumayan standar lah untuk terminal Seperti biasa pasti banyak calo tapi surprisingly toiletnya lumayan bersih ada mushola juga good Ruang tunggunya ada di dalam tapi di depan ada taman juga buat nunggu lumayan sejuk juga karna banyak pohon nya dan ada gazebo Overall,terminalnya lumayan standar lah untuk terminal seperti biasa pasti banyak calo tapi surprisingly toiletnya lumayan bersih ada mushola juga good ruang tunggunya ada di dalam tapi di depan ada taman juga buat nunggu lumayan sejuk juga karna banyak pohon nya dan ada gazebo overall,terminalnya lumayan standar lah untuk terminal seperti biasa pasti banyak calo tapi surprisingly toiletnya lumayan bersih ada mushola juga good ruang tunggunya ada di dalam tapi di depan ada taman juga buat menunggu lumayan sejuk juga karena banyak pohon nya dan ada gazebo overall,terminal lumayan standar lah untuk terminal seperti biasa pasti banyak calo tapi surprisingly toilet lumayan bersih ada mushola juga good ruang tunggu ada di dalam tapi di depan ada taman juga buat tunggu lumayan sejuk juga karena banyak pohon nya dan ada gazebo overall,"['terminal', 'lumayan', 'standar', 'lah', 'untuk', 'terminal', 'seperti', 'biasa', 'pasti', 'banyak', 'calo', 'tapi', 'surprisingly', 'toilet', 'lumayan', 'bersih', 'ada', 'mushola', 'juga', 'good', 'ruang', 'tunggu', 'ada', 'di', 'dalam', 'tapi', 'di', 'depan', 'ada', 'taman', 'juga', 'buat', 'tunggu', 'lumayan', 'sejuk', 'juga', 'karena', 'banyak', 'pohon', 'nya', 'dan', 'ada', 'gazebo', 'overall']","['terminal', 'lumayan', 'standar', 'terminal', 'calo', 'surprisingly', 'toilet', 'lumayan', 'bersih', 'mushola', 'good', 'ruang', 'tunggu', 'taman', 'tunggu', 'lumayan', 'sejuk', 'pohon', 'gazebo', 'overall']",terminal lumayan standar terminal calo surprisingly toilet lumayan bersih mushola good ruang tunggu taman tunggu lumayan sejuk pohon gazebo overall
18,Terminal Bulupitu Purwokerto,Cyril Gifran,5,Tempatnya busmania kumpul dan nongkiyy,Positif,Tempatnya busmania kumpul dan nongkiyy,tempatnya busmania kumpul dan nongkiyy,tempatnya busmania kumpul dan nongkiyy,tempat busmania kumpul dan nongkiyy,"['tempat', 'busmania', 'kumpul', 'dan', 'nongkiyy']","['busmania', 'kumpul', 'nongkiyy']",busmania kumpul nongkiyy
19,Terminal Bulupitu Purwokerto,Basir Udin,5,Aman dari calo,Positif,Aman dari calo,aman dari calo,aman dari calo,aman dari calo,"['aman', 'dari', 'calo']","['aman', 'calo']",aman calo
20,Terminal Bulupitu Purwokerto,Iswanti iswanti,1,"Terminal dengan agen agen bus preman.cuma sinar jaya saja yang bagus.
Toilet terjorok yang pernah saya singah.jorok sekali.sepertinya karena orang orangnya jorok juga.& toilet semua mampet.bener bener jorok.jijik banget pokoknya.semoga aja ada perbaikan terutama untuk orang orang agen bus .& toilet nya.diwilayah lain udah maju.diterminal purwokerto masih aja jorok.",Negatif,Terminal dengan agen agen bus premancuma sinar jaya saja yang bagus Toilet terjorok yang pernah saya singahjorok sekalisepertinya karena orang orangnya jorok juga toilet semua mampetbener bener jorokjijik banget pokoknyasemoga aja ada perbaikan terutama untuk orang orang agen bus  toilet nyadiwilayah lain udah majuditerminal purwokerto masih aja jorok,terminal dengan agen agen bus premancuma sinar jaya saja yang bagus toilet terjorok yang pernah saya singahjorok sekalisepertinya karena orang orangnya jorok juga toilet semua mampetbener bener jorokjijik banget pokoknyasemoga aja ada perbaikan terutama untuk orang orang agen bus  toilet nyadiwilayah lain udah majuditerminal purwokerto masih aja jorok,terminal dengan agen agen bus premancuma sinar jaya saja yang bagus toilet terjorok yang pernah saya singahjorok sekalisepertinya karena orang orangnya jorok juga toilet semua mampetbener benar jorokjijik  sekali pokoknyasemoga saja ada perbaikan terutama untuk orang orang agen bus toilet nyadiwilayah lain sudah majuditerminal purwokerto masih saja jorok,terminal dengan agen agen bus premancuma sinar jaya saja yang bagus toilet jorok yang pernah saya singahjorok sekalisepertinya karena orang orang jorok juga toilet semua mampetbener benar jorokjijik sekali pokoknyasemoga saja ada baik utama untuk orang orang agen bus toilet nyadiwilayah lain sudah majuditerminal purwokerto masih saja jorok,"['terminal', 'dengan', 'agen', 'agen', 'bus', 'premancuma', 'sinar', 'jaya', 'saja', 'yang', 'bagus', 'toilet', 'jorok', 'yang', 'pernah', 'saya', 'singahjorok', 'sekalisepertinya', 'karena', 'orang', 'orang', 'jorok', 'juga', 'toilet', 'semua', 'mampetbener', 'benar', 'jorokjijik', 'sekali', 'pokoknyasemoga', 'saja', 'ada', 'baik', 'utama', 'untuk', 'orang', 'orang', 'agen', 'bus', 'toilet', 'nyadiwilayah', 'lain', 'sudah', 'majuditerminal', 'purwokerto', 'masih', 'saja', 'jorok']","['terminal', 'agen', 'agen', 'bus', 'premancuma', 'sinar', 'jaya', 'bagus', 'toilet', 'jorok', 'singahjorok', 'sekalisepertinya', 'orang', 'orang', 'jorok', 'toilet', 'mampetbener', 'jorokjijik', 'pokoknyasemoga', 'utama', 'orang', 'orang', 'agen', 'bus', 'toilet', 'nyadiwilayah', 'majuditerminal', 'purwokerto', 'jorok']",terminal agen agen bus premancuma sinar jaya bagus toilet jorok singahjorok sekalisepertinya orang orang jorok toilet mampetbener jorokjijik pokoknyasemoga utama orang orang agen bus toilet nyadiwilayah majuditerminal purwokerto jorok
