stars,text,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_final,polarity_score,polarity
5,"Aman, mau ke Jakarta, Jogja, Bandung atau kemana aja. Banyak trayek busnya",Aman mau ke Jakarta Jogja Bandung atau kemana aja Banyak trayek busnya,aman mau ke jakarta jogja bandung atau kemana aja banyak trayek busnya,aman mau ke jakarta jogja bandung atau kemana saja banyak trayek busnya,"['aman', 'mau', 'ke', 'jakarta', 'jogja', 'bandung', 'atau', 'kemana', 'saja', 'banyak', 'trayek', 'busnya']","['aman', 'jakarta', 'jogja', 'bandung', 'kemana', 'trayek', 'busnya']",aman jakarta jogja bandung kemana trayek busnya,-5,negative
5,Terminalnya cukup memuaskan aga kurang banyak pilihan PO terminal sebesar ini,Terminalnya cukup memuaskan aga kurang banyak pilihan PO terminal sebesar ini,terminalnya cukup memuaskan aga kurang banyak pilihan po terminal sebesar ini,terminalnya cukup memuaskan  agar kurang banyak pilihan po terminal sebesar ini,"['terminalnya', 'cukup', 'memuaskan', 'agar', 'kurang', 'banyak', 'pilihan', 'po', 'terminal', 'sebesar', 'ini']","['terminalnya', 'memuaskan', 'pilihan', 'po', 'terminal']",terminalnya memuaskan pilihan po terminal,2,positive
4,"Sudah bagus, tinggal komitmen pengguna saja untuk menjaga kebersihan terutama merokok agar g bebas,,",Sudah bagus tinggal komitmen pengguna saja untuk menjaga kebersihan terutama merokok agar g bebas,sudah bagus tinggal komitmen pengguna saja untuk menjaga kebersihan terutama merokok agar g bebas,sudah bagus tinggal komitmen pengguna saja untuk menjaga kebersihan terutama merokok agar enggak bebas,"['sudah', 'bagus', 'tinggal', 'komitmen', 'pengguna', 'saja', 'untuk', 'menjaga', 'kebersihan', 'terutama', 'merokok', 'agar', 'enggak', 'bebas']","['bagus', 'tinggal', 'komitmen', 'pengguna', 'menjaga', 'kebersihan', 'merokok', 'bebas']",bagus tinggal komitmen pengguna menjaga kebersihan merokok bebas,-6,negative
5,"Teeminal yg ramah trhadap pengunjung
Walaupun bnyak calo tp tetep calonya g prnah maks buat ikut..",Teeminal yg ramah trhadap pengunjung Walaupun bnyak calo tp tetep calonya g prnah maks buat ikut,teeminal yg ramah trhadap pengunjung walaupun bnyak calo tp tetep calonya g prnah maks buat ikut,teeminal yang ramah trhadap pengunjung walaupun banyak calo tapi tetap calonya enggak pernah maks buat ikut,"['teeminal', 'yang', 'ramah', 'trhadap', 'pengunjung', 'walaupun', 'banyak', 'calo', 'tapi', 'tetap', 'calonya', 'enggak', 'pernah', 'maks', 'buat', 'ikut']","['teeminal', 'ramah', 'trhadap', 'pengunjung', 'calo', 'calonya', 'maks']",teeminal ramah trhadap pengunjung calo calonya maks,2,positive
5,Terminal  bis Purwokerto. Lokasi tiket bis Sinar jaya setelah pintu masuk terminal.,Terminal  bis Purwokerto Lokasi tiket bis Sinar jaya setelah pintu masuk terminal,terminal  bis purwokerto lokasi tiket bis sinar jaya setelah pintu masuk terminal,terminal bis purwokerto lokasi tiket bis sinar jaya setelah pintu masuk terminal,"['terminal', 'bis', 'purwokerto', 'lokasi', 'tiket', 'bis', 'sinar', 'jaya', 'setelah', 'pintu', 'masuk', 'terminal']","['terminal', 'bis', 'purwokerto', 'lokasi', 'tiket', 'bis', 'sinar', 'jaya', 'pintu', 'masuk', 'terminal']",terminal bis purwokerto lokasi tiket bis sinar jaya pintu masuk terminal,-5,negative
5,Nyaman,Nyaman,nyaman,nyaman,['nyaman'],['nyaman'],nyaman,4,positive
4,Petugasnya ramah tapi hati-hati masih banyak calo lalu-lalang disini,Petugasnya ramah tapi hatihati masih banyak calo lalulalang disini,petugasnya ramah tapi hatihati masih banyak calo lalulalang disini,petugasnya ramah tapi hatihati masih banyak calo lalulalang disini,"['petugasnya', 'ramah', 'tapi', 'hatihati', 'masih', 'banyak', 'calo', 'lalulalang', 'disini']","['petugasnya', 'ramah', 'hatihati', 'calo', 'lalulalang']",petugasnya ramah hatihati calo lalulalang,2,positive
5,"Masih jadi terminal paling bersih yg pernah tak kunjungi. Skrg sdh ada transBanyumas juga disini. Maap, videonya gak nyambung. Hehee",Masih jadi terminal paling bersih yg pernah tak kunjungi Skrg sdh ada transBanyumas juga disini Maap videonya gak nyambung Hehee,masih jadi terminal paling bersih yg pernah tak kunjungi skrg sdh ada transbanyumas juga disini maap videonya gak nyambung hehee,masih jadi terminal paling bersih yang pernah tak kunjungi sekarang sudah ada transbanyumas juga disini maaf videonya enggak menyambung hehee,"['masih', 'jadi', 'terminal', 'paling', 'bersih', 'yang', 'pernah', 'tak', 'kunjungi', 'sekarang', 'sudah', 'ada', 'transbanyumas', 'juga', 'disini', 'maaf', 'videonya', 'enggak', 'menyambung', 'hehee']","['terminal', 'bersih', 'tak', 'kunjungi', 'transbanyumas', 'maaf', 'videonya', 'menyambung', 'hehee']",terminal bersih tak kunjungi transbanyumas maaf videonya menyambung hehee,-1,negative
5,Luar biasa bersih 💝,Luar biasa bersih,luar biasa bersih,luar biasa bersih,"['luar', 'biasa', 'bersih']",['bersih'],bersih,0,neutral
5,"Terminal dengan fasilitas yg memadai serta terstruktur rapi, semoga senantiasa konsisten serta terjaga integritasnya.",Terminal dengan fasilitas yg memadai serta terstruktur rapi semoga senantiasa konsisten serta terjaga integritasnya,terminal dengan fasilitas yg memadai serta terstruktur rapi semoga senantiasa konsisten serta terjaga integritasnya,terminal dengan fasilitas yang memadai serta terstruktur rapi semoga senantiasa konsisten serta terjaga integritasnya,"['terminal', 'dengan', 'fasilitas', 'yang', 'memadai', 'serta', 'terstruktur', 'rapi', 'semoga', 'senantiasa', 'konsisten', 'serta', 'terjaga', 'integritasnya']","['terminal', 'fasilitas', 'memadai', 'terstruktur', 'rapi', 'semoga', 'senantiasa', 'konsisten', 'terjaga', 'integritasnya']",terminal fasilitas memadai terstruktur rapi semoga senantiasa konsisten terjaga integritasnya,-2,negative
5,"Mantap sih, bersih dan tertata rapi banget udah tempatnya. Josss",Mantap sih bersih dan tertata rapi banget udah tempatnya Josss,mantap sih bersih dan tertata rapi banget udah tempatnya josss,mantap sih bersih dan tertata rapi  sekali sudah tempatnya josss,"['mantap', 'sih', 'bersih', 'dan', 'tertata', 'rapi', 'sekali', 'sudah', 'tempatnya', 'josss']","['mantap', 'bersih', 'tertata', 'rapi', 'tempatnya', 'josss']",mantap bersih tertata rapi tempatnya josss,5,positive
5,"Fasilitas semakin lengkap,
Mau ambil uang tunai sekarang bisa langsung ke ATM yang ada di area lobi depan,
Sampai dengan Juli 2023 ini,terdapat 2 ATM yang berdampingan.",Fasilitas semakin lengkap Mau ambil uang tunai sekarang bisa langsung ke ATM yang ada di area lobi depan Sampai dengan Juli  initerdapat  ATM yang berdampingan,fasilitas semakin lengkap mau ambil uang tunai sekarang bisa langsung ke atm yang ada di area lobi depan sampai dengan juli  initerdapat  atm yang berdampingan,fasilitas semakin lengkap mau ambil di toko uang tunai sekarang bisa langsung ke atm yang ada di area lobi depan sampai dengan juli initerdapat atm yang berdampingan,"['fasilitas', 'semakin', 'lengkap', 'mau', 'ambil', 'di', 'toko', 'uang', 'tunai', 'sekarang', 'bisa', 'langsung', 'ke', 'atm', 'yang', 'ada', 'di', 'area', 'lobi', 'depan', 'sampai', 'dengan', 'juli', 'initerdapat', 'atm', 'yang', 'berdampingan']","['fasilitas', 'lengkap', 'ambil', 'toko', 'uang', 'tunai', 'langsung', 'atm', 'area', 'lobi', 'juli', 'initerdapat', 'atm', 'berdampingan']",fasilitas lengkap ambil toko uang tunai langsung atm area lobi juli initerdapat atm berdampingan,-2,negative
5,"Bangunan dan fasilitas sangat lengkap dengan lahan parkir untuk mengantar atau menjemput penumpang (saudara), mushola, toilet, tempat menuggu bis juga luas dan bersih, serta warung jajanan yang banyak",Bangunan dan fasilitas sangat lengkap dengan lahan parkir untuk mengantar atau menjemput penumpang saudara mushola toilet tempat menuggu bis juga luas dan bersih serta warung jajanan yang banyak,bangunan dan fasilitas sangat lengkap dengan lahan parkir untuk mengantar atau menjemput penumpang saudara mushola toilet tempat menuggu bis juga luas dan bersih serta warung jajanan yang banyak,bangunan dan fasilitas sangat lengkap dengan lahan parkir untuk mengantar atau menjemput penumpang saudara mushola toilet tempat menuggu bis juga luas dan bersih serta warung jajanan yang banyak,"['bangunan', 'dan', 'fasilitas', 'sangat', 'lengkap', 'dengan', 'lahan', 'parkir', 'untuk', 'mengantar', 'atau', 'menjemput', 'penumpang', 'saudara', 'mushola', 'toilet', 'tempat', 'menuggu', 'bis', 'juga', 'luas', 'dan', 'bersih', 'serta', 'warung', 'jajanan', 'yang', 'banyak']","['bangunan', 'fasilitas', 'lengkap', 'lahan', 'parkir', 'mengantar', 'menjemput', 'penumpang', 'saudara', 'mushola', 'toilet', 'menuggu', 'bis', 'luas', 'bersih', 'warung', 'jajanan']",bangunan fasilitas lengkap lahan parkir mengantar menjemput penumpang saudara mushola toilet menuggu bis luas bersih warung jajanan,1,positive
4,"Lumayan tertib, lumayan bersih",Lumayan tertib lumayan bersih,lumayan tertib lumayan bersih,lumayan tertib lumayan bersih,"['lumayan', 'tertib', 'lumayan', 'bersih']","['lumayan', 'tertib', 'lumayan', 'bersih']",lumayan tertib lumayan bersih,0,neutral
1,"Ternyata masih ada calo yang untungnya ga main main 30% dari harga tiket,,dan anehnya calo ini menempati loket  di dalam terminal..hati hati kalian kalau masuk terminal,,,HARUS BERANI MENOLAK JIKA ADA ORANG YANG TERUS MENERUS NGIKUTI KAMU....SOALNYA HARGA TIKETNYA JADI SANGAT MAHAL..KASIH MAKAN KELUARGA DARI HASIL MERAS ORANG.....WOW...BANGET KAMU...GA TAKUT KARMA????SAKIT CELAKA ATAU APA KEK.....",Ternyata masih ada calo yang untungnya ga main main  dari harga tiketdan anehnya calo ini menempati loket  di dalam terminalhati hati kalian kalau masuk terminalHARUS BERANI MENOLAK JIKA ADA ORANG YANG TERUS MENERUS NGIKUTI KAMUSOALNYA HARGA TIKETNYA JADI SANGAT MAHALKASIH MAKAN KELUARGA DARI HASIL MERAS ORANGWOWBANGET KAMUGA TAKUT KARMASAKIT CELAKA ATAU APA KEK,ternyata masih ada calo yang untungnya ga main main  dari harga tiketdan anehnya calo ini menempati loket  di dalam terminalhati hati kalian kalau masuk terminalharus berani menolak jika ada orang yang terus menerus ngikuti kamusoalnya harga tiketnya jadi sangat mahalkasih makan keluarga dari hasil meras orangwowbanget kamuga takut karmasakit celaka atau apa kek,ternyata masih ada calo yang untungnya enggak main main dari harga tiketdan anehnya calo ini menempati loket di dalam terminalhati hati kalian kalau masuk terminalharus berani menolak jika ada orang yang terus menerus ngikuti kamusoalnya harga tiketnya jadi sangat mahalkasih makan keluarga dari hasil meras orangwowbanget kamuga takut karmasakit celaka atau apa kayak,"['ternyata', 'masih', 'ada', 'calo', 'yang', 'untungnya', 'enggak', 'main', 'main', 'dari', 'harga', 'tiketdan', 'anehnya', 'calo', 'ini', 'menempati', 'loket', 'di', 'dalam', 'terminalhati', 'hati', 'kalian', 'kalau', 'masuk', 'terminalharus', 'berani', 'menolak', 'jika', 'ada', 'orang', 'yang', 'terus', 'menerus', 'ngikuti', 'kamusoalnya', 'harga', 'tiketnya', 'jadi', 'sangat', 'mahalkasih', 'makan', 'keluarga', 'dari', 'hasil', 'meras', 'orangwowbanget', 'kamuga', 'takut', 'karmasakit', 'celaka', 'atau', 'apa', 'kayak']","['calo', 'untungnya', 'main', 'main', 'harga', 'tiketdan', 'anehnya', 'calo', 'menempati', 'loket', 'terminalhati', 'hati', 'masuk', 'terminalharus', 'berani', 'menolak', 'orang', 'menerus', 'ngikuti', 'kamusoalnya', 'harga', 'tiketnya', 'mahalkasih', 'makan', 'keluarga', 'hasil', 'meras', 'orangwowbanget', 'kamuga', 'takut', 'karmasakit', 'celaka', 'kayak']",calo untungnya main main harga tiketdan anehnya calo menempati loket terminalhati hati masuk terminalharus berani menolak orang menerus ngikuti kamusoalnya harga tiketnya mahalkasih makan keluarga hasil meras orangwowbanget kamuga takut karmasakit celaka kayak,-11,negative
5,Mantap,Mantap,mantap,mantap,['mantap'],['mantap'],mantap,5,positive
4,A clean place.,A clean place,a clean place,a clean place,"['a', 'clean', 'place']","['clean', 'place']",clean place,0,neutral
5,Jam 5 masih sepi🤦‍♂️ untungnya bus udah ada yg stay...,Jam  masih sepi untungnya bus udah ada yg stay,jam  masih sepi untungnya bus udah ada yg stay,jam masih sepi untungnya bus sudah ada yang stay,"['jam', 'masih', 'sepi', 'untungnya', 'bus', 'sudah', 'ada', 'yang', 'stay']","['jam', 'sepi', 'untungnya', 'bus', 'stay']",jam sepi untungnya bus stay,-3,negative
4,Olways sinarjaya ..ws kayakuwebae..pokoke yess,Olways sinarjaya ws kayakuwebaepokoke yess,olways sinarjaya ws kayakuwebaepokoke yess,olways sinarjaya ws kayakuwebaepokoke yess,"['olways', 'sinarjaya', 'ws', 'kayakuwebaepokoke', 'yess']","['olways', 'sinarjaya', 'ws', 'kayakuwebaepokoke', 'yess']",olways sinarjaya ws kayakuwebaepokoke yess,0,neutral
4,Tempat transit menuju Jogja,Tempat transit menuju Jogja,tempat transit menuju jogja,tempat transit menuju jogja,"['tempat', 'transit', 'menuju', 'jogja']","['transit', 'jogja']",transit jogja,0,neutral
5,Tmpatnya sangat nyman buat santai,Tmpatnya sangat nyman buat santai,tmpatnya sangat nyman buat santai,tmpatnya sangat nyman buat santai,"['tmpatnya', 'sangat', 'nyman', 'buat', 'santai']","['tmpatnya', 'nyman', 'santai']",tmpatnya nyman santai,2,positive
5,"Toilet kotor bau tidak terawat, air tidak ada. Mohon di perhatikan",Toilet kotor bau tidak terawat air tidak ada Mohon di perhatikan,toilet kotor bau tidak terawat air tidak ada mohon di perhatikan,toilet kotor bau tidak terawat air tidak ada mohon di perhatikan,"['toilet', 'kotor', 'bau', 'tidak', 'terawat', 'air', 'tidak', 'ada', 'mohon', 'di', 'perhatikan']","['toilet', 'kotor', 'bau', 'tidak', 'terawat', 'air', 'tidak', 'mohon', 'perhatikan']",toilet kotor bau tidak terawat air tidak mohon perhatikan,-16,negative
5,Rame wangi rapi bersih aman josss bulupitu sekarang,Rame wangi rapi bersih aman josss bulupitu sekarang,rame wangi rapi bersih aman josss bulupitu sekarang,rame wangi rapi bersih aman josss bulupitu sekarang,"['rame', 'wangi', 'rapi', 'bersih', 'aman', 'josss', 'bulupitu', 'sekarang']","['rame', 'wangi', 'rapi', 'bersih', 'aman', 'josss', 'bulupitu']",rame wangi rapi bersih aman josss bulupitu,5,positive
1,"Bagi yg belum mengetahui seluk beluk terminal ini hati-hati. Memang secara tampilan sudah berubah. Tapi masih banyak calo!!
Cukup yg terakhir kmaren aja lh saya dateng ksitu. Tapi bingung juga nyari agen bus yg tanpa calo di sini karna cuma beberapa yg punya agen di luar terminal!😖",Bagi yg belum mengetahui seluk beluk terminal ini hatihati Memang secara tampilan sudah berubah Tapi masih banyak calo Cukup yg terakhir kmaren aja lh saya dateng ksitu Tapi bingung juga nyari agen bus yg tanpa calo di sini karna cuma beberapa yg punya agen di luar terminal,bagi yg belum mengetahui seluk beluk terminal ini hatihati memang secara tampilan sudah berubah tapi masih banyak calo cukup yg terakhir kmaren aja lh saya dateng ksitu tapi bingung juga nyari agen bus yg tanpa calo di sini karna cuma beberapa yg punya agen di luar terminal,bagi yang belum mengetahui seluk beluk terminal ini hatihati memang secara tampilan sudah berubah tapi masih banyak calo cukup yang terakhir kemarin saja boleh saya datang kesitu tapi bingung juga mencari agen bus yang tanpa calo di sini karena cuma beberapa yang punya agen di luar terminal,"['bagi', 'yang', 'belum', 'mengetahui', 'seluk', 'beluk', 'terminal', 'ini', 'hatihati', 'memang', 'secara', 'tampilan', 'sudah', 'berubah', 'tapi', 'masih', 'banyak', 'calo', 'cukup', 'yang', 'terakhir', 'kemarin', 'saja', 'boleh', 'saya', 'datang', 'kesitu', 'tapi', 'bingung', 'juga', 'mencari', 'agen', 'bus', 'yang', 'tanpa', 'calo', 'di', 'sini', 'karena', 'cuma', 'beberapa', 'yang', 'punya', 'agen', 'di', 'luar', 'terminal']","['seluk', 'beluk', 'terminal', 'hatihati', 'tampilan', 'berubah', 'calo', 'kemarin', 'kesitu', 'bingung', 'mencari', 'agen', 'bus', 'calo', 'agen', 'terminal']",seluk beluk terminal hatihati tampilan berubah calo kemarin kesitu bingung mencari agen bus calo agen terminal,-17,negative
5,"Bangunan dan fasilitasnya cukup lengkap dibanding terminal lain. Tapi air di bak toilet kuning dan kurangnya sandal untuk wudhu di mushala.

Semoga bisa jd bahan evaluasi",Bangunan dan fasilitasnya cukup lengkap dibanding terminal lain Tapi air di bak toilet kuning dan kurangnya sandal untuk wudhu di mushala  Semoga bisa jd bahan evaluasi,bangunan dan fasilitasnya cukup lengkap dibanding terminal lain tapi air di bak toilet kuning dan kurangnya sandal untuk wudhu di mushala  semoga bisa jd bahan evaluasi,bangunan dan fasilitasnya cukup lengkap dibanding terminal lain tapi air di bak toilet kuning dan kurangnya sandal untuk wudhu di mushala semoga bisa jadi bahan evaluasi,"['bangunan', 'dan', 'fasilitasnya', 'cukup', 'lengkap', 'dibanding', 'terminal', 'lain', 'tapi', 'air', 'di', 'bak', 'toilet', 'kuning', 'dan', 'kurangnya', 'sandal', 'untuk', 'wudhu', 'di', 'mushala', 'semoga', 'bisa', 'jadi', 'bahan', 'evaluasi']","['bangunan', 'fasilitasnya', 'lengkap', 'dibanding', 'terminal', 'air', 'bak', 'toilet', 'kuning', 'kurangnya', 'sandal', 'wudhu', 'mushala', 'semoga', 'bahan', 'evaluasi']",bangunan fasilitasnya lengkap dibanding terminal air bak toilet kuning kurangnya sandal wudhu mushala semoga bahan evaluasi,-9,negative
5,"Tempatnya luas, fasilitas komplit, tersedia berbagai macam bus....",Tempatnya luas fasilitas komplit tersedia berbagai macam bus,tempatnya luas fasilitas komplit tersedia berbagai macam bus,tempatnya luas fasilitas komplit tersedia berbagai macam bus,"['tempatnya', 'luas', 'fasilitas', 'komplit', 'tersedia', 'berbagai', 'macam', 'bus']","['tempatnya', 'luas', 'fasilitas', 'komplit', 'tersedia', 'bus']",tempatnya luas fasilitas komplit tersedia bus,5,positive
5,"Terminalnya mulai tertata dan ada peningkatan kebersihannya, pembangunan masih berjalan, semoga bisa lebih baik lagi dan menjadi kebanggaan masyarakat Purwokerto dan sekitarnya",Terminalnya mulai tertata dan ada peningkatan kebersihannya pembangunan masih berjalan semoga bisa lebih baik lagi dan menjadi kebanggaan masyarakat Purwokerto dan sekitarnya,terminalnya mulai tertata dan ada peningkatan kebersihannya pembangunan masih berjalan semoga bisa lebih baik lagi dan menjadi kebanggaan masyarakat purwokerto dan sekitarnya,terminalnya mulai tertata dan ada peningkatan kebersihannya pembangunan masih berjalan semoga bisa lebih baik lagi dan menjadi kebanggaan masyarakat purwokerto dan sekitarnya,"['terminalnya', 'mulai', 'tertata', 'dan', 'ada', 'peningkatan', 'kebersihannya', 'pembangunan', 'masih', 'berjalan', 'semoga', 'bisa', 'lebih', 'baik', 'lagi', 'dan', 'menjadi', 'kebanggaan', 'masyarakat', 'purwokerto', 'dan', 'sekitarnya']","['terminalnya', 'tertata', 'peningkatan', 'kebersihannya', 'pembangunan', 'berjalan', 'semoga', 'kebanggaan', 'masyarakat', 'purwokerto']",terminalnya tertata peningkatan kebersihannya pembangunan berjalan semoga kebanggaan masyarakat purwokerto,-1,negative
5,Jumat berkah,Jumat berkah,jumat berkah,jumat berkah,"['jumat', 'berkah']","['jumat', 'berkah']",jumat berkah,6,positive
5,"Nyaman langsung ke loket untuk antar propinsi ya?jgn lewat calo.
Sedikit info untuk tujuan jakarta khususnya pengguna sinar jaya
Jam setengah sebelas siang ad dan setengah dua siang ad,transit di cibitung...tks",Nyaman langsung ke loket untuk antar propinsi yajgn lewat calo Sedikit info untuk tujuan jakarta khususnya pengguna sinar jaya Jam setengah sebelas siang ad dan setengah dua siang adtransit di cibitungtks,nyaman langsung ke loket untuk antar propinsi yajgn lewat calo sedikit info untuk tujuan jakarta khususnya pengguna sinar jaya jam setengah sebelas siang ad dan setengah dua siang adtransit di cibitungtks,nyaman langsung ke loket untuk antar propinsi yajgn lewat calo sedikit info untuk tujuan jakarta khususnya pengguna sinar jaya jam setengah sebelas siang ada dan setengah dua siang adtransit di cibitungtks,"['nyaman', 'langsung', 'ke', 'loket', 'untuk', 'antar', 'propinsi', 'yajgn', 'lewat', 'calo', 'sedikit', 'info', 'untuk', 'tujuan', 'jakarta', 'khususnya', 'pengguna', 'sinar', 'jaya', 'jam', 'setengah', 'sebelas', 'siang', 'ada', 'dan', 'setengah', 'dua', 'siang', 'adtransit', 'di', 'cibitungtks']","['nyaman', 'langsung', 'loket', 'propinsi', 'yajgn', 'calo', 'info', 'tujuan', 'jakarta', 'pengguna', 'sinar', 'jaya', 'jam', 'sebelas', 'siang', 'siang', 'adtransit', 'cibitungtks']",nyaman langsung loket propinsi yajgn calo info tujuan jakarta pengguna sinar jaya jam sebelas siang siang adtransit cibitungtks,9,positive
4,"parkiran luas, ada toilet umum, masjid dan banyak agen bis tiket",parkiran luas ada toilet umum masjid dan banyak agen bis tiket,parkiran luas ada toilet umum masjid dan banyak agen bis tiket,parkiran luas ada toilet umum masjid dan banyak agen bis tiket,"['parkiran', 'luas', 'ada', 'toilet', 'umum', 'masjid', 'dan', 'banyak', 'agen', 'bis', 'tiket']","['parkiran', 'luas', 'toilet', 'masjid', 'agen', 'bis', 'tiket']",parkiran luas toilet masjid agen bis tiket,3,positive
